SUBSTATIONID,Matched_Station_Name,State,RegionID,MatchScore
66kV_CRHU1,Hume,New South Wales,NSW1,51
KEPG,Kempsey,New South Wales,NSW1,68
CPR_EAST,Cowra East,New South Wales,NSW1,75
BLGC,Blacktown,New South Wales,NSW1,68
BERYL_SF,Beryl,New South Wales,NSW1,83
METZ_SF,Metz,New South Wales,NSW1,90
ROKEBY,Robeby,Tasmania,TAS1,83
MORNGTON,Mornington,Tasmania,TAS1,89
QUEANBYN,Que,Tasmania,TAS1,90
T198_BLA,Bega,New South Wales,NSW1,51
T268_CMB,Campbell,New South Wales,NSW1,40
JRDNE_CK,Jardine Creek,Queensland,QLD1,74
BOGBRI_E,Boggabri,New South Wales,NSW1,80
URALLA,Uralla,New South Wales,NSW1,100
H108_TUM,Hume,New South Wales,NSW1,55
LYGS,Algester,Queensland,QLD1,68
NARRAND,Narrandera,New South Wales,NSW1,82
SEBAS_SF,Yass,New South Wales,NSW1,68
TEMORA,Temora,New South Wales,NSW1,100
SSSGT,SSCST,Queensland,QLD1,80
66KV_STWO,Kidston,Queensland,QLD1,53
SSNVR_T,SSQRT,Queensland,QLD1,73
132KV_7128/3,Tumut 132,New South Wales,NSW1,33
AVOCA,Avoca,Tasmania,TAS1,100
T272_CLB-BREAKER,Braemar,Queensland,QLD1,64
T272_CLB,Mt Colah,New South Wales,NSW1,43
JUNEE,Junee,New South Wales,NSW1,100
T280_DRL,Trundle,New South Wales,NSW1,43
WOLLAR_W,Wollar,New South Wales,NSW1,92
NEUROO,Neuroodla,South Australia,SA1,90
ELECTRNA,Electrona,Tasmania,TAS1,94
RYE_PARK,Rye Park Wind Farm,New South Wales,NSW1,90
NYNGN_SF,Nyngan,New South Wales,NSW1,77
BERESFLD,Beresfield,New South Wales,NSW1,89
QUE,Que,Tasmania,TAS1,100
W_JEMALN,Jemalong,New South Wales,NSW1,80
CLRMT_SF,Clermont,Queensland,QLD1,67
 FORBES,Forbes,New South Wales,NSW1,100
SSNSW,Ardrossan West,South Australia,SA1,72
BARK_I,Benarkin,Queensland,QLD1,77
MANILDRA,Manildra,New South Wales,NSW1,100
H162_BNB,South Bundaberg,Queensland,QLD1,51
JUNEE_SF,Junee,New South Wales,NSW1,83
R14_TUMM,Drummoyne,New South Wales,NSW1,50
RYE_P_WF,Yea,Victoria,VIC1,60
Z35_CCB,Mica Creek B,Queensland,QLD1,38
NEVRT_SF,Nevertire,New South Wales,NSW1,62
H169_EUR,Oura,New South Wales,NSW1,51
BUNDEY,Bundaberg,Queensland,QLD1,67
T256_GRL,Trundle,New South Wales,NSW1,43
MBH_1,Ourimbah,New South Wales,NSW1,68
R15_MISS,Isis,Queensland,QLD1,77
BUNROB_1,Bunnerong,New South Wales,NSW1,62
BUNROB_2,Bunnerong,New South Wales,NSW1,62
SSMDH,SSMLS,Queensland,QLD1,60
SUNRY_SF,Sunbury,Victoria,VIC1,71
H90_TLYS,Halys,Queensland,QLD1,67
WYA_SF,Yass,New South Wales,NSW1,67
ART,Macarthur Wind Farm,Victoria,VIC1,90
H93_GUMN,Hume,New South Wales,NSW1,55
RIVERINA,Erina,New South Wales,NSW1,90
GUNNEDAH,Gunnedah,New South Wales,NSW1,100
132KV_7117/2,Tumut 132,New South Wales,NSW1,33
132KV_7117/4,Tumut 132,New South Wales,NSW1,33
CRTS,Port Stanvac,South Australia,SA1,68
GPTS,Knights Road,Tasmania,TAS1,68
T254_BNA,Bega,New South Wales,NSW1,51
H96HN2SF,Murray Bridge-Hahndorf No 3,South Australia,SA1,45
WALAWALA,Awaba,New South Wales,NSW1,72
MA_1,Panorama,New South Wales,NSW1,72
6F,Gunning Wind Farm,New South Wales,NSW1,45
H148_DMN,Harman,New South Wales,NSW1,46
275KV_8996,Woolooga 275,Queensland,QLD1,30
H86_DDSF,Nambucca Heads,New South Wales,NSW1,45
HILLSTON,Hillston,New South Wales,NSW1,100
STUBO_SF,West Gosford,New South Wales,NSW1,64
4,X41,Queensland,QLD1,90
ERA_BESS,Forbes,New South Wales,NSW1,62
