SUBSTATIONID,Matched_Station_Name,State,RegionID,MatchScore
LY,Blyth West,South Australia,SA1,90
LE_FEV,Le Fevre,South Australia,SA1,83
SSNSD,Essendon,Victoria,VIC1,72
H21_MRRE,Hume,New South Wales,NSW1,55
SYD_EAST,Sydney East,New South Wales,NSW1,82
T61_PAND,Zetland,New South Wales,NSW1,57
T127_EGN,Mount England,Queensland,QLD1,51
H39_WORE,Woree,Queensland,QLD1,67
T129_EDM,Eden,New South Wales,NSW1,51
H75_KUMP,Hume,New South Wales,NSW1,55
WHY_T,Whitmore Square,South Australia,SA1,68
WHYA_C,Morgan-Whyalla No 4,South Australia,SA1,72
MT_LOC,Mount Lock,South Australia,SA1,72
BLYT_W,Blyth West,South Australia,SA1,72
SSCST,SSCST,Queensland,QLD1,100
SSWRD,Wellington Road-SSWRD,Queensland,QLD1,90
LIVERPL,Liverpool,New South Wales,NSW1,88
HAYMARKT,Haymarket,New South Wales,NSW1,94
SSAST,SSCST,Queensland,QLD1,80
SSMLS,SSMLS,Queensland,QLD1,100
H9_PLMWD,Palmwoods,Queensland,QLD1,62
MLINK_B,North east LLink,Victoria,VIC1,66
MONASH,Monash,South Australia,SA1,100
GUTHEGA,Guthega,New South Wales,NSW1,100
WOTS,Port Stanvac,South Australia,SA1,68
JINDERA,Jindera,New South Wales,NSW1,100
CULTAN,Cultana,South Australia,SA1,92
E_TCE,West Castle Hill,New South Wales,NSW1,68
LENNOX_H,Lennox Head,New South Wales,NSW1,82
9G3,Wagga 330,New South Wales,NSW1,60
T111_NOR,Oura,New South Wales,NSW1,60
AVON,Avon,New South Wales,NSW1,100
DAPTO,Dapto,New South Wales,NSW1,100
TSTS,Port Stanvac,South Australia,SA1,68
KEMPS_CK,Kemps Creek,New South Wales,NSW1,82
BTS,Clements Gap Wind Farm,South Australia,SA1,60
CHAPEL,Chapel Street,Tasmania,TAS1,90
LIAPOOTA,Liapootah,Tasmania,TAS1,94
WAGGANTH,Wagga North,New South Wales,NSW1,89
TEMP_W,Templestowe,Victoria,VIC1,72
T97_GREG,Gregory,Queensland,QLD1,57
MILLBR,Millbrook,South Australia,SA1,90
ANG_CK,Jeeralang,Victoria,VIC1,68
T70_CORY,Cooroy,Queensland,QLD1,62
SSSPO,SSMLS,Queensland,QLD1,60
T187_RLD,Stroud,New South Wales,NSW1,46
T43_STWB,North West Bend,South Australia,SA1,51
MAKNTOSH,Mackintosh,Tasmania,TAS1,89
HWPS,Blyth West,South Australia,SA1,68
T161_ALG,Tasmanian Electro Metallurgical Company,Tasmania,TAS1,51
T160_SMR,Temora,New South Wales,NSW1,46
KILBUR,Kilburn,South Australia,SA1,92
SSBBH,BHP,New South Wales,NSW1,72
DUMARESQ,Dumeresq,New South Wales,NSW1,88
T137_NGY,Tanby,Queensland,QLD1,50
T69_NLDS,Newlands,Queensland,QLD1,53
T12_KILK,St Kilda,Victoria,VIC1,57
NORWOOD,Norwood,Tasmania,TAS1,100
TREVALYN,Trevallyn,Tasmania,TAS1,94
ERARING,Eraring,New South Wales,NSW1,100
T24_RUNC,Runcorn,Queensland,QLD1,57
T93_CNTH,Ballarat North,Victoria,VIC1,51
MT_BAR,Mount Barker South,South Australia,SA1,72
BFIELD_W,Beaconsfield West,New South Wales,NSW1,77
CANBERRA,Corraberra,South Australia,SA1,78
SAPWF,Clements Gap Wind Farm,South Australia,SA1,72
N_OSBN,Fishermans Bend,Victoria,VIC1,72
T104_STN,Port Stanvac,South Australia,SA1,51
LIDDELL,Liddell,New South Wales,NSW1,100
NPSD,Ewingsdale,New South Wales,NSW1,68
R4_MILLM,Pioneer Sugar Mill,Queensland,QLD1,69
T51_CRNS,Torrens Island A,South Australia,SA1,51
MTS,Clements Gap Wind Farm,South Australia,SA1,60
SVTS,St Marys,Tasmania,TAS1,55
T128_RBA,Roma,Queensland,QLD1,51
RALEIGH,Raleigh,New South Wales,NSW1,100
COFFS,Coffs Harbour,New South Wales,NSW1,90
BALRANLD,Balranald,New South Wales,NSW1,94
T36_INVA,Port Stanvac,South Australia,SA1,51
VINEYARD,Vineyard,New South Wales,NSW1,100
SSSPD,SSMLS,Queensland,QLD1,60
INGLBURN,Ingleburn,New South Wales,NSW1,94
LISM132,Lismore 132,New South Wales,NSW1,82
WST_GSFD,West Gosford,New South Wales,NSW1,78
T21_QAL,Sale,Victoria,VIC1,51
CAPITAL,Capital Hill Wind Farm,New South Wales,NSW1,90
JLGSB,Algester,Queensland,QLD1,54
CANOWI,Canowie,South Australia,SA1,92
SSCVL,Rossville,Queensland,QLD1,72
SSBPN,BHP,New South Wales,NSW1,60
T48_TLLY,Tully,Queensland,QLD1,67
MOWBRAY,Mowbray,Tasmania,TAS1,100
SL_MY,Wesley Vale,Tasmania,TAS1,68
T27_MRA,Temora,New South Wales,NSW1,67
T94_TVE,Morphett Vale East,South Australia,SA1,60
LYPS,Olympic Dam West,South Australia,SA1,68
WOLLAR,Wollar,New South Wales,NSW1,100
GRIFFITH,Griffith,New South Wales,NSW1,100
SSMLB,SSMLS,Queensland,QLD1,80
T50_INFL,Captains Flat,New South Wales,NSW1,64
WILLMSDL,Willalo,South Australia,SA1,67
CLAR_N,Clare,Queensland,QLD1,80
MINTAR,Mintaro,South Australia,SA1,92
SOMERSBY,Sommersby,New South Wales,NSW1,94
GOSFORD,Gosford,New South Wales,NSW1,100
MUSBK132,Muswellbrook 132,New South Wales,NSW1,70
NRCS,Sunrise Hills,Queensland,QLD1,68
H32_CHLM,Hume,New South Wales,NSW1,51
KINCRA,Kincraig,South Australia,SA1,86
T99_GRNT,Mount Garnet,Queensland,QLD1,64
FBTS,Abbotsbury,New South Wales,NSW1,68
SILVERWF,Kew,Victoria,VIC1,60
T75_NRNG,Terang,Victoria,VIC1,62
MANNUM,Mannum,South Australia,SA1,100
TUNGATIN,Tungatin,Tasmania,TAS1,100
DERWENT,Derwent Bridge,Tasmania,TAS1,90
BUTLERS,Butlers Gorge Tee,Tasmania,TAS1,90
ClareSF,Clare,Queensland,QLD1,83
T107_COP,Top Ryde,New South Wales,NSW1,43
T_BEND,North West Bend,South Australia,SA1,90
T174_TRA,East Terrace,South Australia,SA1,51
TI_N,Wayatinah,Tasmania,TAS1,90
SSBBS,SSMLS,Queensland,QLD1,60
JBUTTERS,John Butters,Tasmania,TAS1,84
T77_KIDS,Kidston,Queensland,QLD1,57
SSSFD,SSMLS,Queensland,QLD1,60
SSBHD,BHP,New South Wales,NSW1,60
T72_BARC,Teebar Creek,Queensland,QLD1,64
T92_DNGL,Mount England,Queensland,QLD1,51
MUNYANG,Munyang,New South Wales,NSW1,100
WATT_P,Wattle Point Wind Farm,South Australia,SA1,72
DALRYM,Dalrymple,South Australia,SA1,90
MT_B_S,Duchess Road-Mt Isa,Queensland,QLD1,68
DENILIQN,Deniliquin,New South Wales,NSW1,89
T26_BILO,Biloela,Queensland,QLD1,57
COLMBLLY,Coleambally,New South Wales,NSW1,84
T81_CADE,Callide A,Queensland,QLD1,53
CAL_C_PS,Comalco,Tasmania,TAS1,62
S5_WESTD,Parafield Gardens West,South Australia,SA1,75
HTS,Knights Road,Tasmania,TAS1,90
CRNS_CTY,Cairns City,Queensland,QLD1,82
TALAWARA,Tallawarra,New South Wales,NSW1,89
HUME,Hume,New South Wales,NSW1,100
ALBURY,Albury,New South Wales,NSW1,100
T171_ELR,Templers,South Australia,SA1,53
SSNGE,Hoppers Crossing,Victoria,VIC1,72
MLNK_B,North east LLink,Victoria,VIC1,60
MLRC,Comalco,Tasmania,TAS1,68
GLEN_INN,Glen Innes,New South Wales,NSW1,88
132KV_760,Gunnedah 132-66,New South Wales,NSW1,56
T101_CMD,Richmond,Victoria,VIC1,40
CAL_A_PS,Calvale,Queensland,QLD1,62
TRNGN_PS,Terang,Victoria,VIC1,62
ANM,Kanmantoo Mine,South Australia,SA1,90
T153_QAW,Stawell,Victoria,VIC1,43
T157_IS,Australian Newsprint Mills,New South Wales,NSW1,45
MACARTHR,Macarthur,New South Wales,NSW1,94
KEMPSEY,Kempsey,New South Wales,NSW1,100
SNUGGY,Snuggery,South Australia,SA1,86
N_NRFOLK,New Norfolk,Tasmania,TAS1,82
STUDLAND,Studland Bay Wind Farm,Tasmania,TAS1,90
SMITHTON,Smithton,Tasmania,TAS1,100
SLEAFD,Sleaford,South Australia,SA1,86
WN_ST,Eagles Downs,Queensland,QLD1,77
T93_CLS,Mt Colah,New South Wales,NSW1,46
WN_SB,Eagles Downs,Queensland,QLD1,77
TAMAR_PS,St Marys,Tasmania,TAS1,71
T55_TURK,Turkinje,Queensland,QLD1,53
SSQR42,SSQRT,Queensland,QLD1,73
TGTS,Knights Road,Tasmania,TAS1,68
T219_WCK,Borthwick,New South Wales,NSW1,50
H76_WAND,Wandoo,Queensland,QLD1,62
